,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2018-01-03,22.42,22.83,22.79,22.18,74687.1,0.38,1.7,22.378,22.516,22.785,51770.82,51262.21,53198.15,1.87,24.20800000000003,24.364499999999992,,23.973036322982562,24.047244614655906,23.756245958635187
2018-01-02,22.3,22.54,22.42,22.05,42677.76,0.12,0.54,22.266,22.583000000000002,22.73,49219.34,48100.37,53397.23,1.07,23.900000000000027,24.293999999999993,,23.455357311640373,23.88792889793554,23.693554370526513
2017-12-29,22.34,22.46,22.31,22.02,35955.75,0.08,0.36,22.084,22.654,22.755,57897.75,46793.59,55537.48,0.9,23.420000000000027,24.220999999999997,,23.073571424562097,23.733852385433153,23.629547623053575
2017-12-28,22.23,22.84,22.24,22.12,56245.01,0.11,0.5,22.22,22.723000000000003,22.849,56385.4,47542.23,55915.74,1.41,22.96600000000003,24.108499999999996,,22.79571422650166,23.58833571714073,23.566118363631922
2017-12-27,22.25,22.57,22.13,21.8,49288.5,-0.11,-0.49,22.414,22.846,22.949,51937.5,46423.84,55602.16,1.23,22.378000000000032,23.996499999999994,,22.573809454231593,23.44658665318677,23.501395638847573
2017-12-26,21.73,22.66,22.23,21.73,61929.7,0.72,3.35,22.654,23.014,23.057,50753.59,48360.9,55920.67,1.55,22.26600000000003,23.843499999999995,,22.459206292456614,23.328566853773204,23.444791756889483
2017-12-25,22.81,22.93,21.51,21.11,86069.77,-1.47,-6.4,22.9,23.189,23.180999999999997,46981.39,54688.57,55274.61,2.15,22.084000000000028,23.643999999999995,,22.142804175894618,23.152461442324732,23.35965182321769
2017-12-22,23.21,23.39,22.99,22.9,28394.0,-0.21,-0.91,23.224,23.313000000000002,23.316,35689.43,50210.29,53887.77,0.71,22.220000000000027,23.536999999999995,,22.425202795280633,23.136754209166675,23.343565854529096
2017-12-21,23.39,23.5,23.21,22.86,34005.55,-0.11,-0.47,23.226,23.275,23.389,38699.06,52743.1,55126.09,0.85,22.41400000000003,23.440999999999995,,22.686801870530324,23.14382560368825,23.3378152327475
2017-12-20,23.61,23.96,23.33,23.2,43368.92,-0.14,-0.6,23.278000000000002,23.18,23.43,40910.18,54204.51,57245.14,1.09,22.654000000000032,23.37749999999999,,22.901201250850303,23.161776074805438,23.33748217096002
2017-12-19,23.23,23.66,23.46,23.23,43068.7,0.31,1.34,23.374000000000002,23.053,23.526,45968.22,55134.09,58490.17,1.08,22.90000000000003,23.32049999999999,,23.087467502785206,23.190496209274652,23.342652686719347
2017-12-18,23.0,23.49,23.13,22.83,29610.0,0.12,0.52,23.478,22.877,23.616999999999997,62395.75,58694.09,60331.46,0.74,23.224000000000032,23.25699999999999,,23.10164500196937,23.18467638982092,23.33376199442401
2017-12-15,23.4,23.4,23.0,22.85,43442.15,-0.46,-1.96,23.401999999999997,22.855999999999998,23.715,64731.15,64281.37,65134.62,1.09,23.226000000000035,23.23549999999999,,23.067763334466907,23.166927361877917,23.31993266528503
2017-12-14,23.65,23.77,23.47,23.22,45061.12,-0.33,-1.39,23.324,22.974,23.869,66787.14,64289.26,71322.17,1.13,23.278000000000038,23.196999999999992,,23.201842223451067,23.19602997222422,23.326097349673628
2017-12-13,23.99,24.38,23.81,23.6,68659.12,-0.15,-0.63,23.081999999999997,23.052,24.104,67498.84,64780.47,73475.4,1.72,23.374000000000038,23.20399999999999,,23.40456148277761,23.254940197786503,23.345812319263253
2017-12-12,22.61,24.14,23.98,22.61,125206.36,1.21,5.31,22.732,23.1,24.337,64299.97,63480.44,76113.42,3.13,23.478000000000037,23.21299999999999,,23.596374322152563,23.32445998229367,23.371446231342414
2017-12-11,22.61,22.94,22.75,22.5,41287.0,0.14,0.62,22.276,23.171999999999997,24.605,54992.43,55860.66,82041.76,1.03,23.402000000000037,23.152499999999993,,23.31424954780673,23.269415339934103,23.346517614375507
2017-12-08,22.4,22.9,22.61,22.04,53722.08,0.35,1.57,22.31,23.318,24.88,63831.59,57565.25,87775.07,1.34,23.324000000000034,23.047499999999992,,23.079499698374192,23.206267025805168,23.317187936510493
2017-12-07,21.98,22.48,22.26,21.92,48619.64,0.22,1.0,22.624000000000002,23.502,25.153000000000002,61791.38,57509.09,91369.88,1.22,23.082000000000033,22.934999999999995,,22.806333132122525,23.1156962595218,23.275382602598054
